,host_since,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,extra_people,minimum_nights,maximum_nights
96,20111110.0,-33.80341195712466,151.15990104962853,2.0,0.5,1.0,1.0,75.0,50.0,0.0,2.0,1125.0
97,20120403.0,-33.89328141146011,151.19850391133357,2.0,1.0,1.0,1.0,125.0,70.0,20.0,7.0,30.0
98,20120405.0,-33.76849972308411,151.25855703719768,4.0,1.0,1.0,2.0,105.0,75.0,0.0,3.0,1125.0
99,20100908.0,-33.89917767633537,151.2722646154171,4.0,1.0,2.0,3.0,185.0,175.0,0.0,3.0,1125.0
100,20120408.0,-33.892851269025066,151.18988607091563,3.0,1.0,2.0,0.0,167.0,0.0,48.0,2.0,365.0
101,20120410.0,-33.892971661708415,151.20470893294683,2.0,3.0,1.0,0.0,98.0,35.0,0.0,1.0,28.0
102,20120402.0,-33.88104753744001,151.2229593968852,4.0,1.0,1.0,4.0,105.0,0.0,25.0,1.0,1125.0
103,20120412.0,-33.85888527402862,151.19199311874308,2.0,1.0,1.0,1.0,111.0,90.0,0.0,2.0,21.0
104,20110519.0,-33.885327820067175,151.26366884376563,2.0,1.0,1.0,1.0,150.0,100.0,0.0,7.0,60.0
105,20100906.0,-33.88280877591094,151.2234184320971,2.0,1.0,1.0,1.0,140.0,126.0,0.0,2.0,30.0
106,20120424.0,-33.722537492523685,151.05119233498928,6.0,1.0,1.0,6.0,177.0,20.0,32.0,1.0,1125.0
107,20120417.0,-33.88120917360631,151.2116084417097,2.0,2.0,3.0,1.0,139.0,40.0,0.0,1.0,56.0
108,20120417.0,-33.88199848059608,151.21017307824408,2.0,1.0,1.0,1.0,150.0,40.0,80.0,1.0,30.0
109,20120503.0,-33.87196277133699,151.2538024758293,2.0,1.0,1.0,1.0,120.0,0.0,0.0,2.0,14.0
110,20120430.0,-33.91557600978784,151.26488635195722,2.0,1.0,1.0,1.0,85.0,45.0,0.0,2.0,1125.0
111,20120504.0,-33.89268604051313,151.20144612129914,2.0,1.0,1.0,1.0,88.0,0.0,15.0,6.0,60.0
112,20120508.0,-33.88995738602684,151.17948681707102,4.0,2.0,2.0,2.0,117.0,40.0,0.0,14.0,45.0
113,20120513.0,-33.89281052167249,151.2640067515,2.0,1.0,1.0,1.0,111.0,100.0,0.0,10.0,45.0
114,20120516.0,-33.8957679209063,151.26576661650708,2.0,1.0,1.0,1.0,155.0,90.0,0.0,21.0,30.0
115,20120521.0,-33.89390936800425,151.2706906314487,3.0,1.0,2.0,2.0,138.0,100.0,100.0,7.0,1125.0
116,20120519.0,-33.898989566033,151.2714547329881,4.0,1.0,0.0,2.0,175.0,120.0,0.0,2.0,30.0
117,20120524.0,-33.89287850828489,151.26819073504274,1.0,1.0,1.0,1.0,70.0,0.0,20.0,1.0,180.0
118,20120526.0,-33.91101766394129,151.20122410815506,2.0,1.0,1.0,1.0,90.0,30.0,0.0,3.0,30.0
119,20120527.0,-33.93698905984282,151.23273912664456,2.0,1.0,1.0,1.0,90.0,0.0,50.0,5.0,365.0
120,20120527.0,-33.90264053538542,151.22420644109542,3.0,1.0,1.0,2.0,100.0,60.0,20.0,3.0,40.0
